"Symbols","A2ML1","AADACL2","ABCA17P","ACP3","AIM2","AKR1B10","AKR1C2","AKR1C3","ALOX12","ANKRD36BP2","ATAD2","BBOX1","BNIPL","CALML3","CD24","CDKN2A","CLCA2","CLCA4","CLIC3","CNFN","CRABP2","CRCT1","CRISP2","CRISP3","CRNN","CRYAB","CSTB","CTHRC1","CWH43","CXCL1","CXCL14","CXCL8","CXCR2","CXCR4","CYP2C18","CYSRT1","DAPL1","DEFB1","DMKN","DSC2","DSG1","EDN3","ELAVL2","ELOVL6","EMP1","ENDOU","EREG","ESR1","FAM3B","FAM83C","FGFBP1","FLG","FMO2","FNDC3B","GALNT5","GBP1","GBP6","GJB2","GJB6","GPR15LG","GREB1","GRHL3","GYS2","HOPX","HOXD10","HPGD","IFI44","IFI44L","IL18","IL1R2","INHBA","IVL","KLHDC7B","KLK11","KRT1","KRT13","KRT15","KRT17","KRT4","KRT6B","KRTDAP","LAMA4","LCE3D","LORICRIN","LY6D","MAL","MALL","ME1","MLF1","MMP12","MPP7","MTHFD1L","MUC15","NDRG4","NMU","NNMT","NSG1","PNLIPRP3","PPP1R3C","RDH12","RHCG","RNF128","RPTN","S100A12","SBSN","SCEL","SERPINB1","SERPINB13","SERPINB2","SFTA2","SLC16A6","SOCS3","SOSTDC1","SPAG17","SPINK5","SPINK7","SPP1","SPRR1A","SPRR1B","SPRR3","SULT2B1","SYCP2","TCN1","TF","TGM1","TGM3","THSD4","TMEM40","TMEM45B","TMPRSS11B","TMPRSS11D","TMPRSS11E","TPRG1","TTC22","UPK1A","VSIG10L","WDR72","ZIC2","ZNF750"
"GSM1551311_Normal.CEL",8.921451942,5.12796669,5.151318096,7.041038043,5.772470982,9.285768382,6.044139332,5.516278176,5.794892921,8.110502436,4.829698756,7.352759245,10.38576225,9.75393865,7.749607237,6.907227858,7.292003514,7.490200182,7.191281666,7.848521215,8.376215175,5.876414798,6.109977592,6.00743752,9.767921919,7.062729407,6.482114172,8.113798002,7.444219797,7.016664226,4.004275002,7.156192079,6.667336986,4.829125295,7.832658496,5.16922704,7.502546564,3.710006775,6.338806413,4.542751403,8.280080174,4.375941117,5.601288656,5.179628298,6.454719986,6.718385576,7.029005193,6.168642498,9.866324679,5.078789875,5.502193249,5.865016261,7.877955514,5.64784312,5.220771271,7.428114753,9.141836837,3.985627953,6.561711857,3.724322455,5.246579194,6.339617752,4.102899296,8.070361054,6.396240596,6.649117768,6.645646199,4.835713252,7.585439551,7.109554952,4.291985278,5.193176497,7.210344728,6.952848827,5.550486429,7.394900163,8.219929432,6.441392106,5.245329632,7.238750481,4.236137988,7.420112805,5.459142223,8.403231205,3.476940737,7.199121574,3.718319679,9.402322948,6.122484677,6.812646941,6.706644551,7.055363291,4.376980196,7.075257998,4.354959049,6.769261871,5.420360758,8.306251795,8.133903998,5.956269708,5.165574599,4.599180981,4.779003559,4.531643389,8.147922805,6.873902593,6.46759027,4.219036177,5.721620312,5.836179991,7.362612157,5.683703044,6.82148292,5.475419888,8.059132027,8.313147249,7.516814285,4.101669871,6.059032319,6.777917462,7.285157761,6.712691918,4.859274628,8.029533806,4.489260403,4.287312894,6.181985364,5.227350226,4.733423238,8.506023944,6.768896647,5.375221402,7.321937513,9.249815012,4.121601552,5.62345209,10.81222602,6.673649649,8.392774302
"GSM1551312_Normal.CEL",9.419174774,4.613649291,5.27641554,7.825170768,6.592519599,9.278093261,6.062115967,5.188302072,6.136605001,7.606943849,5.061696828,7.204176533,10.34273142,9.463319346,7.542520253,6.948691452,7.093227601,7.486628763,6.730505311,6.76214348,8.286366315,5.651657044,6.618683805,6.159524673,9.583588477,6.521716102,6.597491642,7.801642945,7.107102814,6.94118394,4.144350886,6.335593273,6.565217164,4.541129933,6.965847537,4.798892807,7.89239044,3.6740253,6.166249155,4.522406906,8.12803985,4.329960045,5.328609113,6.418263987,6.107739266,6.584775076,7.325127126,6.195103897,10.40804846,4.877803105,5.603055088,5.852280932,7.412774541,5.862761298,5.270628401,7.471029652,9.680570959,5.220072536,6.654361733,3.425700446,5.906060399,5.991394192,3.981482793,8.868491849,6.463184581,6.383417115,5.167457568,4.826907856,6.873153826,7.19226297,4.091716619,5.387949096,7.24021433,6.887411135,5.581617436,6.735949557,8.296047663,6.736762814,5.453024338,6.792477698,3.845235639,6.561685511,5.159982871,8.055636411,3.49433532,7.554559045,3.707575432,9.088816639,6.319101052,7.20773893,6.618255644,7.621901086,4.352419155,5.726046977,4.292108458,6.012995926,3.987658125,8.455184325,8.040845705,5.704146399,4.896692863,4.634515462,4.759750564,4.712352397,7.898265582,6.777892753,6.42212156,4.028343203,5.673311998,5.440823112,6.807994039,6.0271912,7.017261672,5.318274209,7.516225282,7.786668769,8.061468397,4.16019047,6.166532508,6.320742128,7.482135695,5.238567638,5.508719418,8.081341128,4.201472118,3.917631937,6.190411109,5.324478331,4.511838162,8.402838716,6.63221523,5.368204783,6.597491642,9.167561907,3.937962358,5.476744309,11.55597239,6.805800801,8.027429039
"GSM1551313_Normal.CEL",9.231120061,4.860971702,5.291771669,9.117521432,6.392291761,9.390878942,6.345167567,4.599493384,6.44071948,6.787931433,4.966544227,7.136162097,10.05882221,9.789462011,8.337669704,6.714620144,6.750374786,7.857426496,6.737681255,7.369323211,8.267858646,5.829187711,5.503811167,6.354326778,9.626009427,6.732621861,6.315873757,7.761500984,7.209866715,6.982675297,4.486185713,6.531015137,6.281268339,4.771714841,7.246619946,4.682234021,7.702468702,3.883789446,5.84105883,4.849857172,8.047573242,4.263011409,5.420962124,6.507228586,6.406380772,6.922641448,7.44517086,5.833003367,10.44450838,5.409121565,5.265170602,6.186932011,7.397626268,5.667783765,5.111897388,7.372000641,9.26703817,4.471407539,6.511479805,3.501723925,5.943936138,6.017589021,4.024236614,8.962670031,6.022625512,6.228112302,4.208852849,4.716607099,6.979741613,7.34188189,3.866438575,4.934075583,7.586962632,6.680497157,5.64506379,6.788517879,8.426333329,6.152808861,4.721272701,6.951571881,3.928713281,6.746044766,5.631278532,8.124237332,3.636368487,7.644995861,3.582478577,9.258455371,6.349196072,6.712214969,6.493099942,6.940789343,4.954860478,4.428766637,4.038031636,6.318550952,4.25398282,7.941482556,7.930416694,6.437655933,5.536334404,4.741335469,4.620178203,5.048812471,7.382005487,6.478943464,6.399718669,3.895958868,5.604437355,5.569430043,7.206082463,5.960402834,7.341015264,5.411340148,7.345880224,8.110751231,8.187542394,4.002042694,6.351343994,6.401264479,7.297241896,5.738933409,5.704334846,8.413673278,4.312867236,4.10553828,6.098701065,5.110637343,4.675938971,8.664074532,6.955683165,5.411191862,6.959486413,9.101870806,3.862423617,5.978321367,11.706096,6.618316738,8.341783809
"GSM1551314_Normal.CEL",9.746080894,4.495390721,5.130682495,7.296505129,6.970420715,8.951835085,6.385304516,5.252436536,5.80249478,7.126544385,4.990092234,7.148277825,10.20316152,9.631321675,7.836120003,6.862590925,6.76057344,8.266466856,6.997304102,7.029005193,8.26002904,5.633382097,6.244377144,5.919386516,9.646882429,6.320940997,6.564314848,8.084231271,7.305256822,6.997887611,4.074476771,6.876825568,6.507550804,5.136732025,7.345469418,5.023469782,7.702998432,3.890737723,6.359084025,4.617810452,8.243368208,4.672190905,5.656135392,6.08744718,6.135860281,6.721326821,7.479918076,6.208423155,10.73342671,5.337997345,5.495049518,5.990466047,7.753950441,5.905197896,5.317773281,7.098593361,9.354133283,4.459091234,6.742277401,3.542401706,6.557192843,6.051598219,3.901360688,8.628679928,5.713666877,6.347993463,7.190723894,4.67247434,7.007822311,7.493191016,3.74867626,5.037811334,7.284183177,6.842099881,5.508296042,7.168789651,8.221104461,5.60695266,4.984770621,6.721435429,4.080628721,6.931690119,5.08588515,8.060732775,3.457600695,7.405998719,3.505998015,9.549814746,6.361048333,7.406569484,6.462876543,7.28006226,4.168842655,7.772892005,4.021021841,6.833015686,3.936984713,8.127205534,8.034524935,5.942801421,4.990978835,4.38335005,4.837470323,4.730413949,7.913381545,6.632942389,6.170411753,3.790095495,5.694139063,5.748964428,7.096448379,6.053193996,7.075497798,5.294567799,7.465306034,7.924866776,7.865817498,4.647837659,6.412476351,6.432849259,7.661465891,5.953143847,5.075360449,8.315943792,4.247172317,4.031399372,6.192033512,5.282757928,4.434239821,8.564341627,6.390549013,5.372970196,6.700026085,9.335044465,3.852554753,5.793307584,11.52643112,6.513924449,8.397563081
"GSM1551315_Normal.CEL",9.195534421,4.784043506,5.170094011,7.190413855,5.332340712,9.321086347,6.706812221,4.854876909,5.663665881,8.369306616,4.789812369,6.46881243,11.09130914,10.01807476,8.089467269,7.397921062,7.235462897,8.16079917,7.118650186,7.554258508,8.039431974,6.175089143,6.130019588,6.239752021,10.95314731,6.538299927,6.642283534,8.42013722,7.457151548,7.340309188,4.38014662,6.884774151,6.598788677,5.216596842,7.520902619,4.88089567,7.874350129,3.886390564,6.074747688,4.700894383,8.45084305,4.374475172,5.440746979,5.103984828,6.5242311,6.365028178,7.182012527,6.59474148,9.867853415,4.94109656,5.41081977,6.174117674,7.454382766,5.644182796,5.01036597,7.697577467,9.132034251,4.448113232,6.640517486,3.652715332,6.349290849,6.440899898,4.017911269,8.476686102,5.998004839,6.853525748,4.966787427,4.954024923,7.330000666,7.31185565,4.233573355,4.862245237,7.261647794,6.434007542,5.789820008,6.86968009,8.337029541,5.819593652,6.10148416,6.706683725,4.058274907,6.653661902,5.504423723,8.801339344,3.341442471,7.456298248,3.682823173,9.623582839,6.617053977,6.127082273,6.610343755,7.314679659,3.856234635,5.317095951,4.189440059,6.607082205,3.988048552,8.439818661,7.857180684,6.241855205,5.410164152,4.617039668,4.652022674,5.229234082,8.056099496,7.039773616,6.244172984,4.133996455,5.702605841,5.47003144,7.204544971,6.442676517,6.846059463,5.384189186,7.423635703,8.229082598,8.117054996,3.881501226,6.196000526,6.672747693,7.703592289,5.413971379,4.917006448,8.566326553,4.280508394,4.667007368,6.09737989,5.210465405,4.63765211,8.746101023,7.067913529,5.452774982,6.969060839,9.469561885,4.310965809,5.54007942,11.08560367,6.46154897,8.359227076
"GSM1551316_Normal.CEL",8.491811522,5.560694576,5.204213778,7.967905548,7.168620365,9.27164527,6.864022969,4.79985087,6.090370455,5.945842315,4.708010426,7.356230939,10.36338711,9.640650579,7.476467717,6.99960394,8.216503297,7.854082788,6.964515554,7.624964325,8.375143027,5.489254449,6.374768708,6.503304215,9.839363188,5.918667183,6.281845377,8.16841839,7.370767764,7.455614196,4.499433712,6.551830788,6.239734683,5.480561775,7.3548597,5.263282149,7.664623986,4.331093152,6.985946288,4.520583079,8.456654704,4.300694046,5.721355009,6.826734706,6.600680024,7.036149939,7.244533978,6.514698116,10.91321991,4.941272105,5.429947883,6.213584051,7.572606311,6.230996338,4.924121151,7.473554609,9.037187414,4.293552537,6.828288214,3.777259362,6.012958692,6.154125094,4.059039381,9.316645201,6.60468992,6.661957735,6.531584421,4.772696861,7.287108993,7.363417717,3.665334387,4.737638176,7.261684389,6.886157261,5.721561141,6.993563887,8.320691551,7.161618187,5.67009625,6.6702875,4.124235264,6.375366056,4.877172383,8.304023004,3.790318113,7.443412557,3.631701959,9.4504499,6.707117064,7.202101921,6.895047025,7.140632724,4.318757179,5.727479162,4.798701187,6.108596111,4.333197306,8.138784885,8.145484821,6.679737988,5.019246848,4.832791604,4.675073876,4.820311906,8.195404891,6.806071803,6.873309532,4.14864201,5.858087046,5.660573567,6.891163209,6.216432815,7.013209515,5.560603627,8.144613559,8.094383141,8.026305796,4.703854636,6.138488979,7.043273395,7.473021166,4.515007631,5.443038996,8.48193881,4.448462237,4.358605937,6.098570968,5.727491977,5.443325259,8.446671634,6.785571208,5.252134356,6.687679791,9.139844647,4.043171129,5.540475965,9.221702574,6.573354857,8.497444604
"GSM1551317_Normal.CEL",9.375058104,4.832719853,5.348312607,7.798891955,6.308512484,9.124537848,6.451436586,4.860932941,5.993546465,5.968978277,4.923574747,6.05245339,10.757073,9.75275195,7.994202141,6.785232523,7.108553843,7.861343405,6.747570933,7.300067818,7.895792179,5.72384887,6.442145559,5.994100022,9.769407179,6.405516134,6.522644442,8.181475884,7.388526886,7.09330759,4.125479681,6.627401444,6.417203995,4.808342058,7.007192176,4.778149678,7.914941697,3.788530897,6.191599431,4.87303135,8.364137531,4.476822969,5.670228021,5.586770224,6.245333336,6.298964246,7.258926496,6.656280999,10.39273146,6.185149927,5.595494718,5.902830704,7.05622864,5.700880646,5.382338356,7.48152321,9.406571191,5.005638471,6.496229047,3.551284949,5.591110524,6.101503626,3.89851342,8.117023271,6.459094491,6.381143191,5.217785163,4.748440869,6.68308641,7.249410102,3.997050341,5.315218539,7.506162715,7.029028765,5.646435339,6.428152311,8.61331945,6.3490913,5.427107617,6.906456362,3.846049034,7.510560167,5.068743156,8.119041648,3.490942404,7.319503811,3.556024568,9.347261053,6.449610111,6.651382966,6.570897158,7.904984682,3.925834135,4.299941673,4.333689397,6.530218039,3.919256883,8.760075956,7.900915816,6.095858843,5.243569212,4.469264484,4.682217863,4.881089631,8.106507109,7.240371308,6.297112262,4.055665036,5.799211213,5.65790989,6.870461639,6.45297781,7.210905814,5.345134071,7.500910215,8.010727998,8.044906093,4.313757717,5.995428223,6.449610111,7.221669013,5.196651357,5.04110394,8.368021731,4.216951772,4.07124108,6.340882724,5.143466985,4.544628816,8.353582474,6.324319795,5.546778639,6.714242313,9.421558127,3.806895672,5.651379816,11.14038394,6.571417356,8.326252933
"GSM1551318_Normal.CEL",9.322597279,4.632387651,5.232526574,8.487091584,7.03774981,8.836466942,6.404836886,4.643260624,6.737465179,9.421930943,4.62840695,7.650200893,9.864815178,9.287170868,8.056608702,6.826497822,7.817896878,7.575247007,6.08872659,6.474305993,8.437818992,5.295145898,5.990245998,5.918463018,9.689927705,6.571050237,6.561882126,8.004840542,6.782713956,6.556153819,4.150355884,6.375963232,5.650203347,4.53919117,6.542213179,4.900388611,7.293497072,3.773030887,5.539084082,4.734114263,7.771030921,4.151200031,5.777540811,5.889033843,5.850245774,6.973004839,6.896167763,6.042012159,10.32762346,4.756744188,5.556579804,5.755983842,7.040407817,5.413645791,4.682421286,6.885726283,9.047553814,5.316050412,6.608132318,3.566207086,6.40636681,6.080793733,4.043796217,8.521642519,6.057789035,6.227300503,5.205119361,4.441507657,7.167649933,7.578663273,4.209613776,4.692537546,7.006239607,7.581079177,5.144669808,6.773137261,7.817655561,6.084425118,4.920332146,6.649235754,3.678033966,7.718141833,4.986449088,7.992301843,3.59881529,7.200137459,3.617434656,8.683032209,6.377969753,7.455158699,6.38517967,7.002543114,4.580735156,6.354326778,4.412038907,6.629332056,4.12082691,7.815268269,7.428581984,5.620834274,5.002603317,4.327723924,4.470530645,5.248591793,7.336158124,7.429926766,6.090293258,3.710069315,5.723080385,5.250456043,6.299813456,5.975383998,6.832390859,4.914162685,7.478234723,7.796760068,7.637801255,3.976259907,5.886389096,6.474828098,7.371731682,4.790227196,5.138200231,7.898976009,4.16724822,3.83747987,5.945992354,4.965560581,4.426423863,8.346177889,7.127084179,5.110255222,6.71200314,8.819532433,3.913389928,4.880498298,11.05161208,6.085334302,8.183042939
"GSM1551319_Normal.CEL",9.112855164,4.585369149,4.951251166,8.650852924,6.693000066,8.985392127,6.567954997,4.81747983,7.644830821,7.03350807,4.662980645,7.246683783,10.07932302,9.412486689,7.264873039,6.88026161,7.349846923,6.996976488,6.518879539,6.470425696,8.221880556,5.24171505,10.3625307,5.871855769,9.415447536,6.549263467,6.241818828,8.516543103,7.009357091,6.453169814,3.946354068,6.495130719,6.406540169,4.381315928,6.619822519,5.224640947,7.569368732,3.764094861,5.951527619,4.808540366,7.715680338,4.121612247,5.488919868,5.732744296,8.525771713,6.552498158,6.608393671,6.66901668,10.76372143,4.662455481,6.577646554,5.872250207,7.175788773,5.488799514,5.113877444,6.890877153,8.991244297,6.287678619,6.567994553,3.505153395,5.308487655,5.865681035,3.959705974,8.201892946,6.878021626,5.882738133,4.890823059,4.964857351,7.101370923,7.795247043,7.027139874,4.547822185,7.056150872,6.392539923,5.153385072,6.341248596,7.954474226,6.676616273,5.392673061,6.601594474,3.656574973,7.26215557,4.58899911,7.644633308,3.491426873,6.806949741,3.619506909,8.87843522,6.208762415,8.032850681,6.382412184,6.863801478,4.394699111,5.343171319,4.103593453,5.938809752,3.744343611,7.218761276,7.49989497,5.577692348,4.508280429,4.531915187,4.687865399,4.956932387,7.332642358,7.317306885,6.19514253,3.623380437,5.269925518,5.373411145,6.400378265,5.653594836,6.762910718,4.994899657,7.567169072,7.531908724,7.311624328,3.766826797,6.697840077,6.499165283,6.940305136,4.764597613,5.244949533,7.817952811,4.005045791,4.015084863,5.916307603,4.907738546,4.588340577,8.09157699,7.497964497,5.096122096,6.867115863,9.018240869,4.039098532,5.536153151,10.24130407,5.89296931,7.758984488
