"Symbols","A2ML1","AADACL2","ABCA17P","ACP3","AIM2","AKR1B10","AKR1C2","AKR1C3","ALOX12","ANKRD36BP2","ATAD2","BBOX1","BNIPL","CALML3","CD24","CDKN2A","CLCA2","CLCA4","CLIC3","CNFN","CRABP2","CRCT1","CRISP2","CRISP3","CRNN","CRYAB","CSTB","CTHRC1","CWH43","CXCL1","CXCL14","CXCL8","CXCR2","CXCR4","CYP2C18","CYSRT1","DAPL1","DEFB1","DMKN","DSC2","DSG1","EDN3","ELAVL2","ELOVL6","EMP1","ENDOU","EREG","ESR1","FAM3B","FAM83C","FGFBP1","FLG","FMO2","FNDC3B","GALNT5","GBP1","GBP6","GJB2","GJB6","GPR15LG","GREB1","GRHL3","GYS2","HOPX","HOXD10","HPGD","IFI44","IFI44L","IL18","IL1R2","INHBA","IVL","KLHDC7B","KLK11","KRT1","KRT13","KRT15","KRT17","KRT4","KRT6B","KRTDAP","LAMA4","LCE3D","LORICRIN","LY6D","MAL","MALL","ME1","MLF1","MMP12","MPP7","MTHFD1L","MUC15","NDRG4","NMU","NNMT","NSG1","PNLIPRP3","PPP1R3C","RDH12","RHCG","RNF128","RPTN","S100A12","SBSN","SCEL","SERPINB1","SERPINB13","SERPINB2","SFTA2","SLC16A6","SOCS3","SOSTDC1","SPAG17","SPINK5","SPINK7","SPP1","SPRR1A","SPRR1B","SPRR3","SULT2B1","SYCP2","TCN1","TF","TGM1","TGM3","THSD4","TMEM40","TMEM45B","TMPRSS11B","TMPRSS11D","TMPRSS11E","TPRG1","TTC22","UPK1A","VSIG10L","WDR72","ZIC2","ZNF750"
"GSM1551320_Normal.CEL",9.702433425,4.5110187,5.233635908,8.661656215,6.530835627,8.998786144,6.219319964,5.543315134,6.266236656,8.312571385,4.787519305,7.82920451,9.594194944,9.331836682,7.560560524,6.685514884,7.70022763,7.544799618,6.309063891,6.560432527,8.687166821,5.299736429,6.024326551,5.741451185,9.69522024,6.950921914,6.637183136,8.11867792,7.119862637,7.171851121,4.113708974,6.500103487,6.238606817,4.43897231,6.597302999,4.909001403,7.782747736,3.828606937,5.85108279,4.653068704,7.810963334,3.979924791,5.0244069,6.474115034,5.97925505,6.768687791,7.151701149,5.98854894,10.72147095,5.272192041,5.646985866,5.963001661,7.023191776,5.391780365,5.038020634,7.023674744,9.592368252,5.290811873,6.566198723,3.388989822,5.514131989,5.881042845,4.043569273,8.351033852,6.657973592,6.300435525,5.69495891,4.708102084,6.748595549,7.228750382,4.220665205,4.924458002,6.857738766,7.339505267,5.554034651,6.357502451,8.006480511,6.422733411,5.131043441,7.156636233,3.797309049,6.734230262,4.833761943,7.702951138,3.449840329,7.203441626,3.670056313,8.613528106,6.352823051,7.481455811,6.519433381,7.321654687,4.960753207,7.848987966,4.160346939,6.101111312,4.73839339,8.441851244,7.852785148,5.890358871,5.307841463,4.421358456,4.334446303,4.846989594,7.32238568,6.676347795,6.010495799,3.894543006,5.540232111,5.313523444,6.797443432,6.124163624,6.748595549,5.157677933,7.567400427,7.865578201,7.762164225,4.171122972,6.082215777,6.608280406,7.076425024,5.014484708,5.294436867,8.104130732,4.370605062,3.974892602,6.032078007,5.208481853,4.539620969,8.245632352,7.526749075,5.01636919,6.632300181,9.070109761,4.183166104,5.18270596,11.70582326,6.155393593,8.265728754
"GSM1551411_Cancer.CEL",8.51952455,4.592994319,5.026831713,8.987698964,6.479230351,8.498347004,6.458871083,4.762170278,6.473386739,6.358387861,4.494040441,8.025586806,9.928232163,9.557787145,8.362370961,6.624959752,7.49241243,7.579229335,6.763723843,7.497523683,8.397908354,5.429922739,6.396690559,5.633034319,9.746165822,6.446077914,5.775790335,8.085968196,7.113461115,6.60896218,4.490864603,6.732205295,5.816672467,4.615056641,6.433204984,4.793540315,7.519491784,3.540903263,5.676262262,4.940607626,7.878961608,4.483425431,5.718591864,6.943014865,6.427787278,6.318761618,6.587489401,7.327876684,10.83954623,4.664678637,5.510187198,5.890771328,7.273685856,5.740670736,4.751083418,6.904640555,8.174136026,5.701373606,6.585894809,3.411599181,5.258995612,6.048413043,4.076807377,7.3975665,6.370558643,6.334718406,4.353009646,4.655964238,6.627956321,7.375233451,4.539168469,4.374316203,7.629561555,7.148820752,5.305024742,6.296655374,8.09861495,6.825311117,5.38086244,6.632434292,3.809938306,7.319503811,4.823210865,7.900572919,3.369228071,8.266047451,3.577579066,8.785851504,6.132238976,9.426659865,6.596732032,8.557050677,4.292023862,6.029936392,4.260768239,6.43006638,3.881253123,7.656104217,7.22313912,5.737515379,4.695515216,4.446251335,4.404173006,5.0619887,7.627793223,6.831310675,6.010716029,3.904988712,5.511069265,5.518501594,6.726122595,6.781682712,6.653888154,4.863273226,7.36420462,7.880055768,7.192287791,3.61570383,6.620681641,6.215348573,6.816724549,5.177629406,5.016670146,8.186606203,4.20180637,4.00404405,5.786831254,4.918073875,4.201319256,8.06878782,6.669194141,5.028757169,6.566999134,8.900641682,3.83974329,5.530683326,9.963176106,5.804268147,8.126836295
"GSM1551412_Cancer.CEL",8.971614098,4.874030432,5.082568955,8.051904234,6.721193888,9.263798753,6.560808465,4.717305641,6.576861563,6.868888359,4.786386545,6.493358374,9.955457697,9.423556481,8.072670016,6.803663508,7.301222647,7.709492824,6.700263052,6.758436481,7.818553391,5.543753769,7.164625878,5.909625134,9.265619587,6.644347528,6.017836928,7.7508418,7.036903002,6.748060035,4.596547591,6.721258432,5.989120878,4.761628208,7.014050096,4.693321544,7.537116443,3.652214745,5.718870102,4.916666354,8.270467403,4.032364979,5.66562653,5.688969949,6.367983949,6.254113747,7.172687487,6.338630817,9.840611425,5.027431864,5.337202844,5.785574867,7.609234342,5.541633981,5.21219347,7.173535636,8.89682107,5.928816179,6.545134044,3.550209474,6.5585198,5.839964963,4.050834917,7.795613591,6.839311811,6.389661626,4.648625852,4.61404194,6.639541113,7.433754185,4.85194716,4.572298241,7.085160917,6.834237633,5.211760641,6.355374032,8.077479439,7.125367117,6.048388396,6.516195888,3.956477277,6.70146492,5.057994737,7.997249966,3.417602336,7.016946611,3.62192932,8.89658394,6.393553652,7.201096777,6.525299462,7.027775917,3.772877861,5.132008673,4.167589219,6.284649912,4.102659202,7.923798144,7.122704177,5.529003952,4.920060413,4.76107083,4.504704123,5.522312818,7.814065507,6.801213754,6.075500659,4.117419607,5.391394035,5.504872292,6.85038695,6.074320376,6.974551814,5.135204851,7.720110501,7.678507646,7.568293513,4.070627792,6.606473118,6.518452876,7.482607733,5.458461673,5.129240283,8.155125445,4.218915852,3.924175111,5.891993555,5.186960863,4.583131588,8.265698211,6.793852027,5.243044305,6.77560749,9.161721747,3.84828861,5.532325359,10.93248245,6.257290276,7.863179494
"GSM1551413_Cancer.CEL",10.02880397,4.99509025,5.50522454,8.244283001,6.540929145,9.363149891,5.894752695,4.93680423,6.35313806,8.257812702,4.915263323,6.716005079,10.03646448,9.536453481,8.620198918,6.846396169,7.35840448,8.392881404,6.728043694,7.361735522,8.165589003,5.852460623,6.151586553,6.292634793,9.548101266,6.132297154,6.414071959,7.925335371,7.235345352,7.245354227,5.110635669,7.005505682,6.402792651,4.885975657,7.05515553,4.913186272,8.211534015,3.760866043,6.129982955,4.834889773,8.225852915,4.713337224,5.317625856,6.054281881,6.455359816,6.916657698,7.407321749,7.188852583,10.05664903,4.995955178,5.81862583,6.028669778,7.662082818,5.95653817,5.184547682,7.586751185,8.922820573,4.596736549,6.622319419,3.471631959,7.260084545,5.926138026,3.867730318,8.153789343,5.164962541,6.393913505,4.553107853,4.817972853,6.808804493,7.463856623,5.673540316,5.19084947,7.722555335,5.340036757,5.531760306,7.084855103,8.584097672,6.151115839,5.373003922,7.100851323,3.909416659,7.129664564,5.135434611,8.439781159,3.482490112,6.825217577,3.706022751,9.24078509,6.830126698,5.678047282,6.563434259,7.68018093,3.783257478,6.014651877,4.055584936,7.0857727,3.909504494,8.120902992,7.548163745,5.884038922,4.99143639,4.812054806,4.549103245,5.194055245,7.806067214,7.150338447,6.513960592,4.184780351,5.361401982,5.372335037,7.273015187,6.140063111,7.127114142,5.575263625,8.041842593,8.169431022,7.448937191,4.117417929,5.778137757,6.685201184,8.011028878,5.435314853,5.241269697,8.360689207,4.28458913,4.087468184,6.105281165,5.54368277,4.906651267,8.485047457,6.160871707,5.292614846,7.150893884,9.34775582,4.1149105,5.824901952,10.9725906,6.487165606,8.153140735
"GSM1551414_Cancer.CEL",8.995457697,4.892392341,5.087318119,7.963118418,6.009579559,9.15947614,6.885997629,4.649426879,6.20285045,8.332309532,4.62840695,6.48843417,10.13141683,9.696203772,8.199879389,7.059481646,7.389337315,7.722794257,6.855378471,7.252341264,8.065148713,5.659845913,6.460840143,5.777567414,10.05208661,7.920119222,6.0576012,8.095173007,7.276335528,6.968377792,4.721559472,6.65891045,6.477431253,4.995246061,7.102480558,4.864260208,7.730576675,3.504784522,5.868019415,4.601139684,8.042515562,4.197477999,6.065223381,5.595540702,6.167863443,6.499727354,6.924579452,8.068624861,9.392103871,4.826472461,5.601480138,5.871463256,7.646017517,5.573564655,4.931802742,7.300910721,8.244728863,5.532589471,6.768288471,3.476105623,5.895891203,6.087828274,4.037009849,8.02573902,6.641462321,6.4519405,4.598947005,4.973515165,6.839643386,7.460058971,4.317294694,4.556523949,7.455834573,6.444656068,5.370599152,6.751724221,7.989493756,6.819720784,6.227482643,6.58436325,3.924533643,7.371087668,4.789695697,8.189317375,3.401579774,6.911239219,3.631701959,8.916956627,6.619997062,7.972810075,6.813133285,7.547869283,4.121614128,5.175096399,4.540144066,6.31142343,4.03239451,8.214788552,7.408517827,6.031468669,5.071995761,4.913466831,4.567512122,5.12987752,8.116897415,6.860456187,6.413845672,4.042882401,5.448513998,5.440268318,6.757277252,5.915764745,6.81181309,5.10080782,7.367810408,8.137864867,7.391651766,3.879845938,6.330940397,6.552979339,7.598522006,4.833892443,5.195932976,8.322919815,4.248576488,4.088154584,5.820659114,5.03480753,4.665843453,8.27803224,7.155154447,5.456148167,6.654764495,9.2348893,4.057764567,5.566561607,9.988679535,6.150803854,8.128489371
"GSM1551415_Cancer.CEL",8.822174654,4.978971595,5.10609632,6.539583405,6.740502429,8.879156562,6.271903774,5.539975402,5.872702716,6.668399294,4.906684484,8.010796529,10.28999273,9.581600382,7.37261002,6.914654279,8.478560591,7.703023584,7.11162059,7.07756261,8.332734415,5.903541226,6.388455647,6.019365282,9.571385349,6.64718287,6.512552676,8.022206813,7.462367782,7.035509363,5.393548469,6.930119037,6.808698999,7.753070931,6.923566427,4.85194716,7.771391282,3.820854007,6.090713992,4.955599502,8.408076775,4.489750788,5.552873754,6.867086966,6.158542206,6.641089475,7.457955434,6.424656596,10.14173106,6.850159391,5.592020547,5.814166332,7.41522754,5.937406875,5.205461617,7.667679607,9.202220026,4.780475631,6.692657018,3.672190399,5.802662576,6.179627186,4.041686777,9.099538206,6.296473682,6.499040461,4.49094478,5.034872685,7.026860815,7.554696461,4.315682505,5.009062956,7.231842331,6.891973706,5.463651938,6.819571033,8.366927573,7.178883874,5.49714903,7.231445987,4.07210791,6.669961784,5.193792808,8.264086998,3.401917675,7.132015249,3.619669919,9.153631056,6.531298116,9.972130526,6.484989487,6.850313958,4.383557697,10.22852145,4.718811654,5.841553422,3.976216916,8.189297138,7.616324284,5.819472539,5.262894653,5.300208045,4.494219363,4.517594588,8.03164179,7.155215749,6.332268243,3.993656379,5.732360309,5.703431988,7.317936663,5.993334253,7.020289527,5.66355921,7.6488697,8.14653015,8.05808996,3.921018783,6.324686729,7.070257659,7.60495002,5.361053551,5.303586052,8.253229871,4.304845143,4.099053557,6.157001237,5.479045963,4.789537421,8.573654004,6.012775681,5.307794026,6.787870598,9.225736531,4.175555375,5.729726376,11.04899936,6.550606969,8.195532227
"GSM1551416_Cancer.CEL",8.630072107,4.861585139,5.149144552,8.512438327,7.293552641,9.107932899,6.443561839,4.654924305,6.132728655,6.867353095,4.936509241,6.879148967,10.31866681,9.685604183,7.803385582,6.956017061,7.248925345,7.681048329,6.956930194,7.232323381,9.409303427,6.06266076,6.322249707,6.038508027,9.973150921,6.778433797,6.357988298,8.212063813,7.575953325,7.216306,4.016034268,6.698677924,6.427287548,5.307516031,7.285773492,4.86263898,7.685908249,3.722834433,5.938953813,4.972465672,8.259753916,4.289254338,5.539724208,6.519501602,6.326389702,6.389107115,6.929327426,6.304262872,10.45054685,4.808079261,5.506739574,5.931634213,7.578082481,5.638487324,5.140105415,7.388677783,9.362886122,5.463262128,6.619417648,3.677425651,4.605495798,6.225154674,3.942057589,7.659883722,6.546446309,6.602355455,4.343758197,5.074626531,6.706049453,7.396033338,3.880155973,4.793932379,7.69156112,6.422246998,5.456111932,6.933121187,8.661222949,7.423551782,5.126567511,7.672977346,4.007188586,6.093265777,4.975238487,8.180459793,3.493826385,7.327063695,3.54250133,9.32646704,6.503834948,9.44203265,6.335604418,8.019805257,4.320558185,4.444671266,4.140791596,6.377772263,3.939896707,8.384260734,8.170676046,5.93629827,5.223780681,5.007772322,4.577429738,4.670805965,7.940942536,6.977990968,6.332236335,3.978563629,5.895764518,5.679097795,6.991458202,6.890192306,7.10491706,5.120596257,7.605205806,7.91409697,7.841764372,3.813787076,6.877148292,6.563864639,7.091432087,5.804159233,5.034042022,7.925159548,4.255126673,4.22874844,6.21695002,5.394772717,4.558629707,8.396676211,6.460586139,5.359567043,6.739580397,9.249171648,3.974259748,5.510242566,10.82481693,6.465147342,8.170238336
"GSM1551417_Cancer.CEL",10.51025413,4.44652018,5.308167031,9.740136125,7.699460604,8.152360147,7.517827716,4.286125397,7.204739107,9.315583715,4.518732055,8.545654163,9.236791356,8.961442196,8.172410351,6.430532086,8.056826579,7.327886185,5.871541767,5.649468211,8.991953574,5.28453358,7.429122217,5.57879527,8.848349375,7.21831695,6.327738256,7.060029013,6.559985209,6.135407688,5.975994251,6.452491561,5.467423325,4.434920788,6.110070528,4.84303444,7.152094475,3.625447664,5.462854686,5.224591839,7.434020435,3.83391235,5.715690966,7.202839065,6.534377249,6.081481582,6.774507445,7.689907168,11.25337794,5.385156057,5.68650488,5.535676191,6.921364662,5.420774812,4.922773304,6.790832501,8.370922124,6.014701512,6.568206052,3.524813617,8.30461439,5.627674386,3.92540933,8.179530459,7.214976298,5.452834387,4.997026857,4.760930871,7.250920929,7.468514175,6.237047126,4.814047028,7.399073615,7.075268286,4.990981917,5.533088348,7.844623081,6.990204028,6.939283468,6.635561241,3.740970748,6.497945353,4.648346662,6.999687295,3.571919745,6.535659854,3.619625097,8.492691969,6.603934643,8.495395862,6.50305872,7.25886291,3.924440527,6.246174195,4.617985966,7.014113072,4.082897203,7.068424584,7.486937566,6.451179598,4.649151696,4.630496869,4.386347572,6.208303263,6.908223246,6.989651801,6.029971898,4.136742058,5.364195665,5.099222862,6.320775624,8.223076916,6.711737692,4.660195443,7.651579103,7.121096279,7.251155533,4.16244605,7.660168759,5.990466047,8.152463912,5.340830991,5.933046469,7.841459123,3.865610136,3.636561079,5.794996582,4.803679984,4.372158204,7.559255262,7.999529321,4.77757804,5.98099402,8.491210084,4.541151377,5.095912628,9.681203268,5.804818064,7.386639539
"GSM1551418_Cancer.CEL",10.80772838,4.949183569,5.132255518,10.82686079,6.505614311,8.462131098,7.438392285,4.376436829,7.204106545,9.242929557,4.475501779,8.283813546,9.439493056,9.54508144,7.890819134,6.587432053,8.182341852,7.328484587,6.290057126,6.449142984,8.218371167,5.251446184,9.19499227,5.64698766,9.029077823,6.614075468,6.938435097,8.409483523,6.794430481,6.662986735,4.728683337,6.495130719,6.598196402,4.376676894,6.572365597,5.170619771,7.636532729,3.615813532,5.732934761,5.387830658,7.664582977,4.195572075,5.443593614,6.838467023,8.471565534,6.047516799,7.095581952,6.434379452,10.83426743,4.873220102,6.030900595,5.779698296,7.113621721,4.908046869,5.065409965,7.047379401,9.19674348,5.576931535,6.584865394,3.650157185,6.72859812,5.972795518,4.003984452,7.196322039,5.738889378,6.007795166,5.293351501,4.857930769,6.789674788,7.728377897,8.185466808,4.421458946,7.913454075,6.430825386,5.158456471,6.347745922,8.437050102,6.350192533,4.67912147,6.512884718,3.761927758,7.725975017,4.820609274,7.76715355,3.461398222,6.448636665,3.65193034,8.714361358,6.537074453,7.877785117,6.708956042,7.797106518,4.05038769,4.711524688,4.467098372,5.409492792,3.931699003,7.371857768,7.824371303,5.828628871,4.677619801,4.638131757,4.518163377,5.305534987,7.039085706,7.536968053,6.371733211,3.828576613,5.337318741,5.472577817,6.258824166,7.445174762,6.394693886,4.946959223,7.022859949,7.545398752,6.977818892,3.80853489,6.565575481,6.639578392,8.01181717,4.270976144,5.758281057,8.344952568,4.682241627,4.167115776,6.008581186,4.903720104,4.703170925,7.868600214,7.212829842,4.837482862,6.309257383,8.820879929,3.944256694,5.195495252,9.991252053,5.956453996,7.388912338
"GSM1551419_Cancer.CEL",9.944188281,5.169928019,5.456179255,9.220646088,6.565115173,8.84451098,6.485397849,4.784388629,6.833585432,7.342883404,4.661912692,7.10244878,9.510663535,9.659339963,8.63976085,7.430359383,6.994797821,7.439281465,6.946528333,8.36054483,8.736990064,5.538094345,7.022185333,5.747443188,9.186864821,5.970266236,6.338110081,8.509236564,7.11741818,6.233689873,5.54228011,6.592869572,6.442063162,4.600999496,6.860901444,4.951127567,7.217784723,3.749096685,5.777410318,4.951692072,7.675658951,3.872772066,5.246549528,10.69016015,6.260993161,6.380714915,6.818128111,6.698677383,9.099037718,4.891557351,5.996596761,6.020001386,7.931687232,6.006124595,5.106938622,7.28387304,9.676885885,4.716431169,6.354949501,3.77420658,4.667284414,6.039739839,4.106468644,7.147429995,5.987196389,6.648005789,4.818282087,5.145835228,6.785557065,7.8226456,8.15742451,5.263831438,8.218197034,5.814135296,5.378600289,7.104368281,8.943864843,6.157390875,5.105664362,6.437368319,4.048896213,7.963464873,5.051958662,7.895775155,3.419208698,6.653987191,3.588336392,8.849386819,6.944856482,7.059314838,7.466136913,8.507067493,5.481987598,4.397208846,4.442812496,5.59559958,3.885483606,8.008884696,8.10291739,5.606520436,4.705646992,4.687901568,4.439318495,5.101713333,7.524465722,7.16916458,6.198967624,4.039750207,5.565711621,5.815933339,6.723485786,6.811397592,6.968581187,5.134008529,7.937019797,7.511773148,6.904892974,3.939953334,5.731834219,6.664205036,7.013260597,4.331721125,5.401743134,8.015356092,4.177767507,4.160282676,6.571117375,5.118133213,4.921400866,8.107569919,7.230680193,5.089282159,6.816809771,8.622807619,4.230118614,5.519014741,10.80949044,5.768328304,8.150769125
"GSM1551420_Cancer.CEL",8.228069352,4.797564077,5.077327263,9.617480529,8.096649916,8.150800492,7.43895305,5.011293247,6.665980088,6.629433168,5.014594417,7.415627203,9.039047517,9.184746505,8.202051414,6.629113843,7.282572542,7.237743861,6.621791461,7.708947352,10.40987089,5.636512297,6.485333496,5.743843684,9.28486404,6.255565972,5.905822457,7.888200174,7.348307742,6.407210943,4.487834319,6.200413126,5.973689705,4.962483573,6.736520649,4.858806691,6.880831533,3.937687058,5.652335949,5.206473767,8.016309283,4.198772454,5.377113026,5.671318771,6.273344063,6.772645089,6.854617871,7.441234714,10.81083982,5.183337568,5.501260402,5.965366732,7.860724908,5.354704727,4.847614851,6.608302961,8.40435693,4.976868062,6.587181212,3.876496428,6.302063254,6.05321718,4.226692938,8.119939424,7.586276971,6.009394165,4.904755911,5.121040668,6.97928645,8.059758848,4.108070785,4.764394599,7.188823847,8.356116214,5.369802762,7.173677893,8.756197851,7.979627304,4.948885392,6.177391151,4.351570526,6.031586514,4.942761934,7.605560688,3.892438335,6.746324071,3.561027966,8.460090186,6.448498931,8.221102468,6.261523967,6.436438332,5.893616728,5.751808862,4.322804258,6.327489127,4.042763816,7.760020837,7.86490499,5.534204302,4.783021686,4.505297621,5.151578601,5.047949072,7.829133057,6.509193651,6.122465124,3.943014139,5.594216822,5.692130309,6.369415448,6.085066637,6.893242929,4.975429563,8.061931123,7.763789087,7.043421896,4.307806852,6.252141056,6.767131584,7.044807628,4.067258474,5.961842126,7.767661137,4.914703962,4.058557096,6.124171234,5.183023861,4.694396833,7.989033204,7.224826381,5.119929331,7.201501224,8.651994663,4.067354487,5.635450216,8.707899918,6.191787652,8.408799815
